version,group,bench_simple,bench_full,mode,mean,unit,timestamp,datetime
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,long)_(runtime,interpreted)",LATENCY,241.0864769,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,long)_(runtime,interpreted)",LATENCY,251.6315959,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,long)_(runtime,interpreted)",LATENCY,247.6888725,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,long)_(runtime,interpreted)",LATENCY,202.4574366,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,AnyInListExpression.executePlan,"AnyInListExpression.executePlan_(engine,COMPILED)_(size,1000)",LATENCY,1.269600601,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,AnyInListExpression.executePlan,"AnyInListExpression.executePlan_(engine,COMPILED)_(size,1000)",LATENCY,1.281090306,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,AnyInListExpression.executePlan,"AnyInListExpression.executePlan_(engine,COMPILED)_(size,1000)",LATENCY,1.440403603,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,AnyInListExpression.executePlan,"AnyInListExpression.executePlan_(engine,COMPILED)_(size,1000)",LATENCY,1.250048504,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,Top.executePlan,"Top.executePlan_(limit,1)_(runtime,compiled-bytecode)_(sort_type,small_string)",LATENCY,20.81742773,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,Top.executePlan,"Top.executePlan_(limit,1)_(runtime,compiled-bytecode)_(sort_type,small_string)",LATENCY,23.16930864,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,Top.executePlan,"Top.executePlan_(limit,1)_(runtime,compiled-bytecode)_(sort_type,small_string)",LATENCY,19.83744419,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,Top.executePlan,"Top.executePlan_(limit,1)_(runtime,compiled-bytecode)_(sort_type,small_string)",LATENCY,19.00009063,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.5)",LATENCY,213.8155691,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.5)",LATENCY,231.3229083,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.5)",LATENCY,223.2948688,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,Selection.executePlan,"Selection.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.5)",LATENCY,211.5451529,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,Distinct.executePlan,"Distinct.executePlan_(columns,primitive)_(runtime,slotted)",LATENCY,12311.1211,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,Distinct.executePlan,"Distinct.executePlan_(columns,primitive)_(runtime,slotted)",LATENCY,12327.89832,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,Distinct.executePlan,"Distinct.executePlan_(columns,primitive)_(runtime,slotted)",LATENCY,12845.75505,ms,1575788177503,08/12/2019 06:56:18
